Date,Company,Category,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Other Operating Income Or Expenses
31/01/2025,NVIDIA,GPU,130497,32639,97858,12914,3491,16405,81453,2573,84026,11146,72880,72880,83317,81453,24555,24804,2.97,2.94,
31/01/2024,NVIDIA,GPU,60922,16621,44301,8675,2654,11329,32972,846,33818,4058,29760,29760,34480,32972,24690,24940,1.21,1.19,
31/01/2023,NVIDIA,GPU,26974,11618,15356,7339,2440,11132,4224,-43,4181,-187,4368,4368,5768,4224,24870,25070,0.18,0.17,
31/01/2022,NVIDIA,GPU,26914,9439,17475,5268,2166,7434,10041,100,9941,189,9752,9752,11215,10041,24960,25350,0.39,0.39,
31/01/2021,NVIDIA,GPU,16675,6279,10396,3924,1940,5864,4532,-123,4409,77,4332,4332,5630,4532,25000,25000,0.18,0.17,
31/01/2020,NVIDIA,GPU,10918,4150,6768,2829,1093,3922,2846,124,2970,174,2796,2796,3227,2846,24720,24720,0.12,0.11,
31/01/2019,NVIDIA,GPU,11716,4545,7171,2376,991,3367,3804,92,3896,-245,4141,4141,4066,3804,24320,25000,0.17,0.17,
31/01/2018,NVIDIA,GPU,9714,3892,5822,1797,815,2612,3210,-34,3196,16,3047,3047,3409,3210,23960,25280,0.13,0.13,
31/01/2017,NVIDIA,GPU,6910,2847,4063,1463,663,2129,1934,-29,1905,239,1666,1666,2121,1934,21640,25960,0.08,0.06,
31/01/2016,NVIDIA,GPU,5010,2199,2811,1331,602,2064,747,-4,743,129,614,614,973,747,21720,22760,0.03,0.03,
31/01/2015,NVIDIA,GPU,4682,2083,2599,1360,480,1840,759,-4,755,124,631,631,1007,759,22080,22520,0.03,0.03,
31/01/2014,NVIDIA,GPU,4130,1862,2268,1336,436,1772,496,14,510,70,440,440,740,496,23520,23800,0.02,0.02,
31/01/2013,NVIDIA,GPU,4280.159,2053.816,2226.343,1147.282,430.822,1578.104,648.239,13.8,662.039,99.503,562.536,562.536,874.474,648.239,24773,24998,0.02,0.02,
31/01/2012,NVIDIA,GPU,3997.93,1941.413,2056.517,1002.605,405.613,1408.218,648.299,15.097,663.396,82.306,581.09,581.09,852.504,648.299,24146,24655,0.02,0.02,
31/01/2011,NVIDIA,GPU,3543.309,2134.219,1409.09,848.83,361.513,1153.343,255.747,15.422,271.169,18.023,253.146,253.146,442.736,255.747,23007,23547,0.01,0.01,
31/01/2010,NVIDIA,GPU,3326.445,2149.522,1176.923,908.851,367.017,1275.868,-98.945,16.651,-82.294,-14.307,-67.987,-67.987,97.719,-98.945,21983,21983,0,0,
31/01/2009,NVIDIA,GPU,3424.859,2250.59,1174.269,855.879,362.222,1244.969,-70.7,27.746,-42.954,-12.913,-30.041,-30.041,114.323,-70.7,21925,21925,0,0,
31/12/2024,Intel,CPU,53101,35756,17345,16546,5507,29023,-11678,468,-11210,8023,-19233,-18756,-299,-11678,4280,4280,-4.38,-4.38,
31/12/2023,Intel,CPU,54228,32517,21711,16046,5634,21618,93,669,762,-913,1675,1689,9695,93,4190,4212,0.4,0.4,
31/12/2022,Intel,CPU,63054,36188,26866,17528,7002,24532,2334,5434,7768,-249,8017,8014,15369,2334,4108,4123,1.95,1.94,
31/12/2021,Intel,CPU,79024,35209,43815,15190,6543,24359,19456,2247,21703,1835,19868,19868,31324,19456,4059,4090,4.89,4.86,
31/12/2020,Intel,CPU,77867,34255,43612,13556,6180,19934,23678,1400,25078,4179,20899,20899,35917,23678,4199,4232,4.98,4.94,
31/12/2019,Intel,CPU,71965,29825,42140,13362,6350,20015,22035,2023,24058,3010,21048,21048,32861,22035,4417,4473,4.77,4.71,
31/12/2018,Intel,CPU,70848,27111,43737,13543,6950,20421,23316,1,23317,2264,21053,21053,32041,23316,4611,4701,4.57,4.48,
31/12/2017,Intel,CPU,62761,23663,39098,13035,7452,21048,18050,3200,20352,10751,9601,9601,26179,18050,4701,4835,2.04,1.99,
31/12/2016,Intel,CPU,59387,23154,36233,12685,8377,23100,13133,-197,12936,2620,10316,10316,20923,13133,4730,4875,2.18,2.12,
31/12/2015,Intel,CPU,55355,20676,34679,12128,7930,20677,14002,210,14212,2792,11420,11420,22713,14002,4742,4894,2.41,2.33,
31/12/2014,Intel,CPU,55870,20261,35609,11537,8136,20262,15347,454,15801,4097,11704,11704,23896,15347,4901,5056,2.39,2.31,
31/12/2013,Intel,CPU,52708,21187,31521,10611,8088,19230,12291,320,12611,2991,9620,9620,20322,12291,4970,5097,1.89,1.89,
31/12/2012,Intel,CPU,53341,20190,33151,10148,8057,18513,14638,235,14873,3868,11005,11005,22260,14638,4996,5160,2.2,2.13,
31/12/2011,Intel,CPU,53999,20242,33757,8350,7670,16280,17477,304,17781,4839,12942,12942,23541,17477,5256,5411,2.46,2.39,
31/12/2010,Intel,CPU,43623,15132,28941,6576,6309,12903,15588,457,16045,4581,11464,11464,20226,15588,5555,5696,2.06,2.01,
31/12/2009,Intel,CPU,35127,15566,19561,5653,7931,13850,5711,-7,5704,1335,4369,4369,10763,5711,5557,5645,0.79,0.77,
31/12/2024,AMD,Chipmaker,25785,13060,12725,6456,2783,10825,1900,89,1989,381,1608,1641,5077,1900,1620,1637,1.01,1,
31/12/2023,AMD,Chipmaker,22680,12220,10460,5872,2352,10059,401,91,492,-346,838,854,3955,401,1614,1625,0.53,0.53,
31/12/2022,AMD,Chipmaker,23601,12998,10603,5005,2336,9339,1264,-80,1184,-122,1306,1320,5715,1264,1561,1571,0.85,0.84,
31/12/2021,AMD,Chipmaker,16434,8505,7929,2845,1448,4281,3648,21,3669,513,3156,3162,4111,3648,1213,1229,2.61,2.57,
31/12/2020,AMD,Chipmaker,9763,5416,4347,1983,995,2978,1369,-94,1275,-1210,2485,2490,1737,1369,1184,1207,2.1,2.06,
31/12/2019,AMD,Chipmaker,6731,3863,2868,1547,750,2237,631,-259,372,31,341,341,919,631,1091,1120,0.31,0.3,
31/12/2018,AMD,Chipmaker,6475,4028,2447,1434,562,1996,451,-121,330,-9,339,337,659,451,982,952,0.34,0.32,
31/12/2017,AMD,Chipmaker,5253,3466,1787,1196,516,1660,127,-153,-8,-26,-26,-33,307,127,952,952,-0.03,-0.03,
31/12/2016,AMD,Chipmaker,4319,3316,1003,1008,466,1376,-373,-76,-449,39,-488,-498,-219,-373,835,835,-0.6,-0.6,
31/12/2015,AMD,Chipmaker,3991,2911,1080,947,482,1561,-481,-165,-646,14,-660,-660,-303,-481,783,783,-0.84,-0.84,
31/12/2014,AMD,Chipmaker,5506,3667,1839,1072,660,1994,-155,-243,-398,5,-403,-403,48,-155,768,768,-0.53,-0.53,
31/12/2013,AMD,Chipmaker,5299,3321,1978,1201,674,1875,103,-177,-74,9,-83,-83,339,103,754,754,-0.11,-0.11,
31/12/2012,AMD,Chipmaker,5422,3187,1235,1354,883,2291,-1056,-161,-1217,-34,-1183,-1183,-796,-1056,741,741,-1.6,-1.6,
31/12/2011,AMD,Chipmaker,6568,3628,2940,1453,992,2572,368,-369,-1,-4,3,491,685,368,727,742,0.68,0.66,
31/12/2010,AMD,Chipmaker,6494,3533,2961,1405,984,2113,848,123,971,38,933,471,1231,848,711,733,0.66,0.64,
31/12/2009,AMD,Chipmaker,5403,3131,2272,1721,994,1608,664,-256,408,-9,296,304,1682,664,678,678,0.46,0.45,
31/12/2024,TSMC,Foundry,90012.97,39495.57,50517.39,6350.055,3013.232,9401.55,41115.85,2605.731,43721.58,7258.954,36462.63,36488.63,61728.83,41115.85,5186,5186,7.04,7.04,-38.259
31/12/2023,TSMC,Foundry,70598.8,32221.6,38377.2,5955.9,2333.9,8283.6,30093.6,1889.3,31982.9,4189.7,27793.2,27816.5,47474.1,30093.6,5186,5186,5.36,5.36,6.2
31/12/2022,TSMC,Foundry,73670.4,29792.9,43877.5,5312.9,2064.5,7389.4,36488.1,741.7,37229.8,4906.5,32323.3,32311.2,50717,36488.1,5186,5186,6.23,6.23,-12
31/12/2021,TSMC,Foundry,57224.8,27681.3,29543.5,4496.6,1603.7,6113.2,23431.2,470.6,23901.8,2529,21372.8,21354,38658.2,23431.2,5186,5186,4.12,4.12,25.3
31/12/2020,TSMC,Foundry,47693.7,22386.6,25325.1,3899.1,1266.7,5140.5,20184.6,639.7,20824.3,2626,18198.3,18188.9,31998.1,20184.6,5186,5186,3.51,3.51,-16.6
31/12/2019,TSMC,Foundry,35773.6,19300.8,16472.8,3056.5,938.9,4012,12460.8,573.7,13034.5,1198.1,11836.4,11833.8,22052.4,12460.8,5186,5186,2.28,2.28,-68.7
31/12/2018,TSMC,Foundry,33693.7,17428.6,16265.1,2806.1,587.7,3732.5,12532.6,454.8,12987.4,1125.1,11862.3,11860.6,22089.9,12532.6,5186,5186,2.29,2.29,-46
31/12/2017,TSMC,Foundry,32977.1,16282.6,16694.5,2723.8,916.6,3686.4,13008.1,357.7,13365.8,1724.8,11641,11639.6,21784.8,13008.1,5186,5186,2.24,2.24,0.9
31/12/2016,TSMC,Foundry,29256.5,14601.1,14655.4,2197.8,793.1,2990,11665.4,245.8,11911.2,1670.5,10240.7,10238.1,18573.6,11665.4,5186,5186,1.97,1.97,-59.24
31/12/2015,TSMC,Foundry,26570.64,13643.2,12927.44,2064.654,722.041,2845.94,10081.51,957.006,11038.51,1381.991,9656.52,9657.076,17090.43,10081.51,5186,5186,1.86,1.86,-31.7
31/12/2014,TSMC,Foundry,24140.3,12187.1,11953.2,1798.4,760.1,2590.2,9363.001,196.3,9559.3,1515.5,8043.8,8047.5,15700.1,9363.001,5186,5186,1.55,1.55,1.6
31/12/2013,TSMC,Foundry,20013.5,10581.4,9432.1,1607.5,784,2389.9,7042.199,197.5,7239.7,1076.5,6163.2,6167.5,12277.9,7042.199,5186,5186,1.19,1.19,-31.7
31/12/2012,TSMC,Foundry,17425.9,9040.6,8385.301,1390.8,761.9,2152.7,6232.601,17.1,6249.7,536.7,5713,5719.7,10754.3,6232.601,5184,5186,1.1,1.1,0.9
31/12/2011,TSMC,Foundry,14543,7935,6608,1152,636,1788,4820,123,4943,365,4578,4570,8487,4820,5193,5193,0.88,0.88,-59.24
31/12/2010,TSMC,Foundry,13322,6747,6575,943,577,1520,5055,352,5407,254,5153,5132,7843,5055,5184,5184,0.99,0.99,-31.7
31/12/2009,TSMC,Foundry,9256.4,5208.6,4047.8,675.8,493.7,1169.5,2878.3,109.5,2987.9,187.7,2800.2,2780.987,5408.4,2878.3,5348,5348,0.52,0.52,1.6
30/09/2024,Qualcomm,Mobile,38962,17060,21902,8893,2759,11831,10071,265,10336,226,10110,10142,11784,10071,1116,1130,9.09,8.97,-179
30/09/2023,Qualcomm,Mobile,35820,15869,19951,8818,2483,12163,7788,-345,7443,104,7339,7232,9779,7788,1117,1126,6.47,6.42,-862
30/09/2022,Qualcomm,Mobile,44200,18635,25565,8194,2570,9705,15860,-862,14998,2012,12986,12936,17624,15860,1123,1137,11.52,11.37,1059
30/09/2021,Qualcomm,Mobile,33566,14262,19504,7176,2339,9515,9789,485,10274,1231,9043,9043,11376,9789,1131,1149,7.99,7.87,28
30/09/2020,Qualcomm,Mobile,23531,9255,14276,5975,2074,8021,6255,-536,5719,521,5198,5198,7648,6255,1135,1149,4.58,4.52,-414
30/09/2019,Qualcomm,Mobile,24273,8599,15674,5398,2195,8007,7667,-186,7481,3095,4386,4386,9271,7667,1210,1220,3.63,3.59,-35
30/09/2018,Qualcomm,Mobile,22611,10244,12367,5625,2986,11746,621,-229,392,5356,-4964,-4964,2455,621,1463,1463,-3.39,-3.39,-3135
30/09/2017,Qualcomm,Mobile,22258,9792,12466,5485,2658,9885,2581,406,2987,543,2444,2445,4118,2581,1477,1490,1.66,1.64,-1742
30/09/2016,Qualcomm,Mobile,23554,9749,13805,5151,2232,7310,6495,338,6833,1131,5702,5705,8030,6495,1484,1498,3.84,3.81,226
30/09/2015,Qualcomm,Mobile,25281,10378,14903,5490,2290,9127,5776,711,6487,1219,5268,5271,6990,5776,1618,1639,3.26,3.22,-1293
30/09/2014,Qualcomm,Mobile,26487,10686,15801,5477,2290,8251,7550,1228,8778,1244,7534,7967,8700,7550,1683,1714,4.73,4.65,-484
30/09/2013,Qualcomm,Mobile,24866,9820,15046,4967,3600,7816,7230,964,8194,1349,6845,6853,8247,7230,1715,1754,3.99,3.91,-331
30/09/2012,Qualcomm,Mobile,19121,7096,12025,3915,2270,6343,5682,880,6562,1279,5283,6109,6579,5682,1700,1741,3.59,3.51,-158
30/09/2011,Qualcomm,Mobile,14957,4877,10080,2995,1945,5054,5026,661,5687,1132,4555,4260,6215,5026,1658,1691,2.57,2.52,-114
30/09/2010,Qualcomm,Mobile,10982,3301,7681,2451,1503,3954,3727,766,4493,973,3520,3247,4393,3727,1663,1658,1.98,1.96,0
30/09/2009,Qualcomm,Mobile,10387,3025,7362,2345,1462,4820,2542,-139,2403,611,1792,1592,3177,2542,1621,1673,0.96,0.95,-1013
31/12/2024,MSI,Hardware,10817,5305,5512,917,1752,2824,2688,-716,1972,390,1582,1577,3024,2688,167,171,9.45,9.23,-155
31/12/2023,MSI,Hardware,9978,5008,4970,858,1561,2676,2294,-148,2146,432,1714,1709,2650,2294,167,172,10.23,9.93,-257
31/12/2022,MSI,Hardware,9112,4883,4229,779,1450,2568,1661,-146,1515,148,1367,1363,2101,1661,168,172,8.14,7.93,-339
31/12/2021,MSI,Hardware,8171,4131,4040,734,1353,2373,1667,-115,1552,302,1250,1245,2105,1667,169,174,7.36,7.17,-286
31/12/2020,MSI,Hardware,7414,3806,3608,686,1293,2225,1383,-209,1174,221,953,949,1792,1383,170,174,5.58,5.45,-246
31/12/2019,MSI,Hardware,7887,3956,3931,687,1403,2350,1581,-580,1001,130,871,868,1975,1581,167,176,5.21,4.95,-260
31/12/2018,MSI,Hardware,7343,3863,3480,637,1254,2225,1255,-153,1102,133,969,966,1615,1255,162,172,5.95,5.62,-334
31/12/2017,MSI,Hardware,6380,3356,3024,568,1025,1740,1284,-202,1076,1227,-151,-155,1627,1284,163,163,-0.95,-0.95,-147
31/12/2016,MSI,Hardware,6038,3169,2869,553,1044,1821,1048,-204,844,282,562,560,1343,1048,170,173,3.3,3.24,-224
31/12/2015,MSI,Hardware,5695,2976,2719,620,1021,1725,994,-77,917,274,643,610,1144,994,200,202,3.06,3.02,-84
31/12/2014,MSI,Hardware,5881,3050,2831,681,1184,3837,-1006,-155,-1161,-465,-696,-1299,-833,-1006,246,246,5.29,5.29,-1972
31/12/2013,MSI,Hardware,6227,3118,3109,761,1330,2162,947,-67,880,-59,939,909,1105,947,266,271,4.13,4.06,-71
31/12/2012,MSI,Hardware,6269,3075,3194,790,1472,2274,920,-39,881,211,670,881,1071,920,292,297,3.02,2.96,-12
31/12/2011,MSI,Hardware,8203,4057,4146,1035,1912,3288,858,-120,738,-3,741,1158,1224,858,334,340,3.47,3.41,-341
31/12/2010,MSI,Hardware,7617,3805,3812,1037,1874,3061,751,-87,664,403,261,633,1104,751,333,338,1.9,1.87,-150
31/12/2009,MSI,Hardware,6947,3470,3477,993,1662,2910,567,66,633,227,445,-51,955,567,290,310,-0.16,-0.16,-255
